1;Комплект мебели для гостиной Ольха горная;1549922;160507.00;1
1;Стенка для гостиной Вишня темная;1018556;216907.00;1
2;Прихожая Венге Винтаж;3028272;24970.00;2
2;Тумба с вешалкой Дуб натуральный;3029272;18206.00;2
2;Прихожая-комплект Дуб темный;3028248;177509.00;1
3;Диван-кровать угловой Книжка;7118827;85900.00;1
3;Диван модульный Телескоп;7137981;75900.00;1
3;Диван-кровать Соло;7029787;120345.00;1
3;Детский диван Выкатной;7758953;25990.00;3
4;Кровать с подъемным механизмом с матрасом 1600х2000 Венге;6026662;69500.00;1
4;Кровать с матрасом 90х2000 Венге;6159043;55600.00;2
4;Кровать универсальная Дуб натуральный;6588376;37900.00;2
4;Кровать с ящиками Ясень белый;6758375;46750.00;3
5;Шкаф-купе 3-х дверный Сосна белая;2759324;131560.00;2
5;Стеллаж Бук натуральный;2118827;38700.00;1
5;Шкаф 4 дверный с ящиками Ясень серый;2559898;160151.00;3
5;Шкаф-пенал Береза белый;2259474;40500.00;3
6;Комод 6 ящиков Вишня светлая;4115947;61235.00;1
6;Комод 4 ящика Вишня светлая;4033136;41200.00;1
6;Тумба под ТВ ;4028048;12350.00;4
